面白くて眠れなくなる植物学,Audible,2024/04/08,2024/04/15,3
世界を変えた10冊の本,Audible,2024/04/15,2024/04/18,4
つくって覚えるPerl入門,石橋,2024/04/08,中止,1
地図で読み解く阪急沿線,石橋,2024/04/17,2024/04/17,3
世界でもっとも強力な9のアルゴリズム,石橋,2024/04/17,途中,4
1週間でJavaScriptの基礎が学べる本,石橋,2024/04/17,2024/04/17,3
オブジェクト指向でなぜつくるのか,石橋,2024/04/17,2024/04/17,3
物理の4大定数 宇宙を支配するc、G、e、h,Audible,2024/04/18,2024/04/23,5
座右の寓話,Audible,2024/04/23,途中,
知略を養う戦争と外交の世界史,Audible,2024/04/24,2024/04/27,4
池上彰の世界の見方　フランス：うるわしの国の栄光と苦悩,Audible,2024/04/27,2024/04/29,3
日本国紀（上）,Audible,2024/04/29,2024/05/04,4
日本国紀（下）,Audible,2024/05/05,2024/05/08,4
アームストロング砲,Audible,2024/05/08,2024/05/09,3
ヨーロッパ史入門 原形から近代への胎動,Audible,2024/05/10,中止,1
池上彰の行動経済学入門,Audible,2024/05/10,2024/05/10,3
桜田門外の変,Audible,2024/05/11,2024/05/11,3
逃げの小五郎,Audible,2024/05/11,2024/05/11,2
きつね馬,Audible,2024/05/12,2024/05/12,2
ローマ亡き後の地中海世界(上),石橋,2024/04/26,2024/05/12,3
ローマ亡き後の地中海世界(下),石橋,2024/05/13,,
王城の護衛者,Audible,2024/05/12,2024/05/15,3
侍はこわい,Audible,2024/05/15,2024/05/15,1
大坂侍,Audible,2024/05/15,2024/05/15,2
伊達の黒船,Audible,2024/05/15,2024/05/17,3
城の怪,Audible,2024/05/17,2024/05/20,1
ただいま十六歳 近藤勇,Audible,2024/05/20,2024/05/20,1
胡桃に酒,Audible,2024/05/20,2024/05/21,2
言い触らし団右衛門,Audible,2024/05/21,2024/05/21,2
金吾中納言,Audible,2024/05/21,2024/05/21,3
けろりの道頓,Audible,2024/05/22,2024/05/22,1
沖田総司の恋,Audible,2024/05/22,2024/05/22,1
おお、大砲,Audible,2024/05/24,2024/05/24,1
天明の絵師,Audible,2024/05/24,2024/05/24,1
人斬り以蔵,Audible,2024/05/25,2024/05/25,2
慶応長崎事件,Audible,2024/05/25,2024/05/25,3
軍師二人,Audible,2024/05/25,2024/05/25,2
喧嘩早雲,Audible,2024/05/29,2024/05/29,1
戦国武将伝 西日本編,Audible,2024/05/30,2024/06/04,5
戦国武将伝 東日本編,Audible,2024/06/05,2024/06/09,5
イクサガミ 天,Audible,2024/06/12,中止,1
世界史＆宗教のツボ,Audible,2024/06/13,2024/06/15,3
徳川15代の通信簿,Audible,2024/06/15,2024/06/16,3
英仏百年戦争,Book-Off,2024/06/17,,
眠れないほどおもしろい吾妻鏡,Audible,2024/06/17,2024/06/20,3
頼朝と義時 武家政権の誕生,Audible,2024/06/20,2024/06/27,3
塞王の楯,Audible,2024/07/02,2024/07/15,5
成瀬は天下を取りにいく,Audible,2024/07/17,途中,2
くらまし屋稼業,Audible,2024/07/17,2024/07/23,4
歴史で読み解く世界情勢のきほん,Audible,2024/07/24,2024/07/30,3
城郭考古学の冒険,Audible,2024/08/02,中止,1
歴史と宗教がわかる！世界の歩き方,Audible,2024/08/06,2024/08/07,3
誰かが私を殺した,Audible,2024/08/07,2024/08/09,3
草枕,Audible,2024/08/10,2024/08/19,1
ギリシア人の物語Ⅰ 民主制のはじまり,箕面,2024/08/16,2024/08/23,5
坊っちゃん,Audible,2024/08/20,2024/08/22,2
三四郎,Audible,2024/08/22,2024/08/30,2
ギリシア人の物語Ⅱ 民主制の成熟と崩壊,池田,2024/08/23,2024/08/31,4
じんかん,Audible,2024/09/04,2024/09/13,4
覇道の槍,池田,2024/09/06,中止,1
本所おけら長屋／その壱 だいくま,Audible,2024/09/16,2024/09/16,2
波乱 百万石の留守居役(一）,Audible,2024/09/16,2024/09/18,5
ギリシア人の物語Ⅲ 新しき力,池田,2024/09/21,2024/10/01,4
思惑 百万石の留守居役(二）,Audible,2024/09/19,2024/09/23,5
新参 百万石の留守居役(三）,Audible,2024/09/23,2024/09/26,5
遺臣 百万石の留守居役(四）,Audible,2024/09/27,2024/09/27,5
密着 百万石の留守居役(五）,Audible,2024/09/27,2024/09/28,5
Python+JSONデータ活用の奥義,石橋,2024/09/27,途中,3
教養としてのギリシャ・ローマ,石橋,2024/09/29,中止,1
使者 百万石の留守居役(六）,Audible,2024/09/30,2024/10/01,5
貸借 百万石の留守居役(七）,Audible,2024/10/02,2024/10/02,5
皇帝フリードリッヒ二世の生涯（上）,BOOKOFF,2024/10/03,,
参勤 百万石の留守居役(八）,Audible,2024/10/02,2024/10/05,5
因果 百万石の留守居役(九）,Audible,2024/10/06,2024/10/07,5
忖度 百万石の留守居役(十）,Audible,2024/10/07,2024/10/11,5
騒動 百万石の留守居役(十一）,Audible,2024/10/11,2024/10/11,5
分断 百万石の留守居役(十二）,Audible,2024/10/11,2024/10/14,5
舌戦 百万石の留守居役(十三）,Audible,2024/10/14,2024/10/15,5
愚劣 百万石の留守居役(十四）,Audible,2024/10/15,2024/10/16,5
布石 百万石の留守居役(十五）,Audible,2024/10/16,2024/10/16,5
密封 奥右筆秘帳（一）,Audible,2024/10/17,2024/10/22,3
国禁 奥右筆秘帳（二）,Audible,2024/10/23,2024/10/28,3
乱麻 百万石の留守居役（十六）,Audible,2024/10/25,2024/10/27,5
侵蝕 奥右筆秘帳（三）,Audible,2024/10/29,2024/11/04,4
中東戦争全史,Audible,2024/10/30,2024/11/01,5
継承 奥右筆秘帳（四）,Audible,2024/11/04,2024/11/07,4
簒奪 奥右筆秘帳（五）,Audible,2024/11/10,2024/11/12,4
秘闘 奥右筆秘帳（六）,Audible,2024/11/13,2024/11/13,3
隠密 奥右筆秘帳（七）,Audible,2024/11/13,2024/11/14,3
刃傷 奥右筆秘帳（八）,Audible,2024/11/17,2024/11/20,3
召抱 奥右筆秘帳（九）,Audible,2024/11/20,途中,3
坂の上の雲（一）,BOOKOFF,2024/11/17,途中,
茜唄（上）,Audible,2024/11/21,中止,2
安倍晋三実録,Audible,2024/11/23,2024/11/26,3
要訣 百万石の留守居役（十七）,Audible,2024/11/26,2024/11/28,5
安倍晋三秘録,Audible,2024/11/29,2024/12/03,3
ボッコちゃん,Audible,2024/12/04,中止,1
告白,Audible,2024/12/06,2024/12/11,5
贖罪,Audible,2024/12/11,2024/12/13,3
アルルカンと道化師,Audible,2024/12/14,2024/12/19,5
不祥事,Audible,2024/12/20,中止,1
民王,Audible,2024/12/20,中止,1
1日1ページで身につく！歴史と地理の新しい教養365,Audible,2024/12/20,中止,1
独ソ戦 絶滅戦争の惨禍,Audible,2024/12/20,2024/12/24,4
世界史の中のパレスチナ問題,Audible,2024/12/24,2025/01/03,4
ダーウィンの呪い,Audible,2025/01/03,2025/01/08,5
ヨーロッパ史,Audible,2025/01/08,中止,1
