2026-04-30,木,C,天津飯,焼餃子,小松菜のおひたし,チンゲン菜とベーコンのソテー
2026-05-03,日,A,鶏の唐揚げ,ポテサラ,大豆スープ,
2026-05-06,水,C,油淋さば,筑前煮,にんじんしりしり,
2026-05-07,木,B,ねぎ焼き,小松菜とこんにゃくのきんぴら,かぼちゃサラダ,
2026-05-09,土,A,ジャーマンオムレツ,マカサラ,コーンスープ,
2026-05-11,月,C,あんかけ焼そば,大根とちくわの煮物,もやし中華サラダ,
2026-05-16,土,A,豚こまの生姜焼き,ポテサラ,目玉焼き,大豆スープ
2026-05-17,日,A,なすのミートソーススパ,コールスローサラダ,,
2026-05-18,月,B,焼ほっけ,豆腐の卵あんかけ,きゅうりとナスのさっぱり和え,
2026-05-23,土,A,鶏の照り焼き,ポテサラ,大豆スープ,
2026-05-24,日,C,冷やし中華,,,
2026-05-25,月,B,西京焼,厚揚げとかぼちゃとにんじんの煮物,大豆サラダ,
2026-05-30,土,A,豚こまハンバーグ,ポテサラ,野菜スープ,
2026-05-31,日,B,鮭のちゃんちゃんホイル焼き,厚揚げの卵とじ,小松菜のおひたし,ベイクドブロッコリー
2026-06-01,月,C,肉野菜炒め,野菜サラダ,卵の中華スープ,
2026-06-06,土,A,ベータマスパ,ポテサラ,大豆スープ,
2026-06-07,日,B,広島焼き,冷奴,,
2026-06-08,月,B,焼きさばの野菜あんかけ,小松菜とにんじんの白和え,きゅうりと長芋のポン酢和え,
2026-06-13,土,A,マカロニグラタン,ポテサラ,野菜スープ,
2026-06-14,日,C,酢豚（豚こま）,炒り豆腐,もやしとかにかまぼこのポン酢サラダ,
2026-06-15,月,B,あじの開き,かぼちゃとちくわと大根とにんじんの煮物,わかめときゅうりの酢の物,
2026-06-20,土,A,豚バラ焼き,ポテサラ,大豆のトマト煮,
2026-06-21,日,C,鶏のカシューナッツ炒め,冷奴のキムチのせ,中華風卵スープ,野菜サラダ
2026-06-22,月,B,鯛の塩焼き,さつまいものそぼろ煮,小松菜と卵炒め,小松菜のポン酢和え
2026-06-27,土,A,ジャーマンオムレツ,マカサラ,コーンスープ,
2026-06-28,日,C,天津飯,焼餃子,ほうれん草のおひたし,
2026-06-29,月,C,冷やし中華,かぼちゃサラダ,,
2026-07-04,土,A,豚こまの生姜焼き,ポテトサラダ,大豆スープ,
2026-07-05,日,C,もやしのチンジャオロースー,冷奴のキムチのせ,中華スープ,
2026-07-06,月,B,西京焼き,鶏むね肉と大根とにんじんの煮物,卵ときゅうりのサラダ,
2026-07-11,土,A,ハンバーグ,マカサラ,野菜スープ,
2026-07-12,日,C,八宝菜,厚揚げの卵とじ,もやし中華サラダ,
2026-07-13,月,B,ちぢみ,厚揚げの煮物,ほうれん草のおひたし,
2026-07-18,土,A,ミートソーススパ,ポテサラ,コーンスープ,
2026-07-19,日,B,さわらの照り焼き,かぼちゃの煮物,わかめときゅうりの酢の物,
2026-07-20,月,C,ソース焼そば,目玉焼き,キムチ冷奴,きゅうりと長芋のポン酢あえ
2026-07-25,土,A,鶏のから揚げ,ポテサラ,大豆スープ,
2026-07-26,日,B,うな丼,ほうれん草とちくわの卵炒め,きゅうりと長芋のわさび漬け,
2026-07-27,月,C,肉野菜炒め,かぼちゃのそぼろ煮,コールスローサラダ,
2026-08-01,土,A,鶏の照焼き,マカサラ,大豆スープ,
